Название кружка;Направление;Поставщик;Адрес;Телефон;Директор;Сайт;Долгота;Широта
Кружок "Бумажные фантазии" для детей с ограниченными возможностями на дому;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
Начальное техническое моделирование;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
НТМ для детей с ограниченными возможностями;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
НТМ для детей с ограниченными возможностями на дому;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
НТМ ручная работа;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
НТМ с элементами художественного конструирования;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
Техническое и художественное выпиливание;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
Техническое и художественное конструирование;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
ТЕХНИЧЕСКОЕ МОДЕЛИРОВАНИЕ;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
Краткосрочные курсы;Научно-техническое;Центр детского творчества "Детство";г Пермь, ул Кировоградская, 44;2523105;Соснина Галина Валентиновна;http://xn----dtbfcc9bllmfeb6b.xn--p1ai/;55.959814;58.000703
Начальное техническое моделирование;Научно-техническое;Центр детского творчества "Детство";г Пермь, ул Кировоградская, 44;2523105;Соснина Галина Валентиновна;http://xn----dtbfcc9bllmfeb6b.xn--p1ai/;55.959814;58.000703
Объединение "Юный умелец";Научно-техническое;Центр детского творчества "Детство";г Пермь, ул Кировоградская, 44;2523105;Соснина Галина Валентиновна;http://xn----dtbfcc9bllmfeb6b.xn--p1ai/;55.959814;58.000703
объединение "Авиамоделирование";Научно-техническое;Центр детского творчества "Сигнал";г Пермь, ул Мира, 8а;(342) 227-42-05;Кузнецова Нина Сергеевна;http://signal-perm.ru;56.203859;57.984913
объединение "Робототехника";Научно-техническое;Центр детского творчества "Сигнал";г Пермь, ул Мира, 8а;(342) 227-42-05;Кузнецова Нина Сергеевна;http://signal-perm.ru;56.203859;57.984913
Мастерская Самоделкина;Научно-техническое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Начально - техническое моделирование;Научно-техническое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
НТК "Волшебная бумага";Научно-техническое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Спортивное   АВИАмоделирование;Научно-техническое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Юный дизайнер;Научно-техническое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Авиамоделирование;Научно-техническое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Робототехника;Научно-техническое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Студия технического творчества "Алый парус";Научно-техническое;Центр дополнительного образования детей "Мотовилиха" г. Перми;г Пермь, ул 1905 года, 2;267-77-52;Астафьев Константин Иванович;;56.318556;58.037946
Дети Российского флота;Научно-техническое;Центр дополнительного образования для детей "Луч" г.Перми;г Пермь, ул Елькина, 3;290-29-90;Соломинина Светлана Александровна;http://luchperm.ru/;56.23716;57.99787
Lego-робототехника;Научно-техническое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
ЯИКТ (Веселый калейдоскоп);Научно-техническое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯИКТ (ХЭЦ);Научно-техническое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Основы программирования;Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Язык программирован ия VisualBasic;Научно-техническое;Некоммерческое партнерство "Союз поддержки профессионального образования";г Пермь, пр-кт Комсомольский, 91;241-05-10;Скрипов Александр Германович;http://www.csperm.ru;56.250913;57.983305
Компьютерная грамотность/Бердышева;Научно-техническое;Станция юных техников Орджоникидзевского района г. Перми;г Пермь, ул Вильямса, 72;2744288;Дзюба Нина Егоровна;http://sutperm.narod.ru/;56.29211;58.098144
Тех. обслуживание средств вычислительной техники;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
Компьютерная графика;Научно-техническое;Центр детского творчества "ИСТОК";Пермь, ул Танцорова, 7;250-25-71;директор Малиновская Татьяна Михайловна;http://istok-perm.ru;56.016911;58.022687
Робототехника;Научно-техническое;Центр детского творчества "Шанс" г.Перми;г Пермь, ул Уинская, 3;261-59-41;Попов Сергей Борисович;http://www.shance.perm.ru;56.302818;58.008228
Авиамоделирование;Научно-техническое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Ракетокосмическое моделирование;Научно-техническое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
ЛЮБИТЕЛЬСКАЯ РАДИОСВЯЗЬ;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
ОСНОВЫ РАДИОЭЛЕКТРОНИКИ;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
ЭЛЕКТРОНИКА И ИНФОРМАТИКА;Научно-техническое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
Радиоконструирование;Научно-техническое;Центр детского творчества "Детство";г Пермь, ул Кировоградская, 44;2523105;Соснина Галина Валентиновна;http://xn----dtbfcc9bllmfeb6b.xn--p1ai/;55.959814;58.000703
Отряд "Ступени";Социально-педагогическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Гармония;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Скаутинг скаутский отряд "Данко";Социально-педагогическое;Центр дополнительного образования для детей "Луч" г.Перми;г Пермь, ул Елькина, 3;290-29-90;Соломинина Светлана Александровна;http://luchperm.ru/;56.23716;57.99787
"Союз друзей" Пушкинский клуб;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Азбука общения;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Путь к себе;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Журналистика;Социально-педагогическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Умники и умницы;Социально-педагогическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Юный медик;Социально-педагогическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
СЕРЕБРЯНОЕ ПЕРЫШКО;Социально-педагогическое;Станция юных техников Свердловского района г.Перми;Пермь, ул Героев Хасана, 16;244 04 48;Солодникова Валентина Александровна;;56.256662;57.99155
Объединение "Кем быть?";Социально-педагогическое;Центр детского творчества "Детство";г Пермь, ул Кировоградская, 44;2523105;Соснина Галина Валентиновна;http://xn----dtbfcc9bllmfeb6b.xn--p1ai/;55.959814;58.000703
Объединение "Профнавигатор";Социально-педагогическое;Центр детского творчества "Детство";г Пермь, ул Кировоградская, 44;2523105;Соснина Галина Валентиновна;http://xn----dtbfcc9bllmfeb6b.xn--p1ai/;55.959814;58.000703
Подростковый клуб общения "Балаганчик";Социально-педагогическое;Центр детского творчества "ИСТОК";Пермь, ул Танцорова, 7;250-25-71;директор Малиновская Татьяна Михайловна;http://istok-perm.ru;56.016911;58.022687
Подростковый клуб общения "Мы";Социально-педагогическое;Центр детского творчества "ИСТОК";Пермь, ул Танцорова, 7;250-25-71;директор Малиновская Татьяна Михайловна;http://istok-perm.ru;56.016911;58.022687
Подростковый клуб общения "Наш выбор";Социально-педагогическое;Центр детского творчества "ИСТОК";Пермь, ул Танцорова, 7;250-25-71;директор Малиновская Татьяна Михайловна;http://istok-perm.ru;56.016911;58.022687
Интеллектуальный клуб;Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Интеллектуальный клуб "ЗНАТОКИ";Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Интеллектуальный клуб "УМНИКИ И УМНИЦЫ";Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
КВН-театр;Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Клуб "Инициатива";Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Клуб "Паритет";Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Клуб "Правовед";Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Клуб журналистики;Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Клуб игрового общения "Фабрика друзей";Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Клуб общения;Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
КТД "Планета талантов";Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Объединение "Примирение";Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Объединение "Территория успеха";Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Правовой клуб "Фемида";Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Эрудит;Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Я- ведущий!;Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Я- Режиссёр;Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Я- сценарист;Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Журналистика;Социально-педагогическое;Центр дополнительного образования детей "Радуга";Пермь, ул Александра Щербакова, 44;263-44-98;Олина Татьяна Леонидовна;;56.388975;58.127768
Выполнить себя;Социально-педагогическое;Центр дополнительного образования для детей "Луч" г.Перми;г Пермь, ул Елькина, 3;290-29-90;Соломинина Светлана Александровна;http://luchperm.ru/;56.23716;57.99787
Управленческая психология и профессиональная этика;Социально-педагогическое;Автономная некоммерческая организация «Семейный центр «Бона Менте» (Добрыми намерениями);г Пермь, ул Сысольская, 2;(342) 2576101, 2576376, 89127825222;Перминова Светлана Сергеевна;http://www.bonamente.perm.ru;55.98061;58.016495
Познай себя;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Развивайка;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Язык жестов;Социально-педагогическое;НОУ "Средняя общеобразовательная школа - детский сад с этнокультурным еврейским компонентом образования "ОР-Авнер ХаБаД"";г Пермь, ул 25 Октября, 43;212-57-54, 212-77-18;Меркушева Татьяна Леонидовна;;56.255207;58.007646
"Познай себя";Социально-педагогическое;Центр детского творчества "Сигнал";г Пермь, ул Мира, 8а;(342) 227-42-05;Кузнецова Нина Сергеевна;http://signal-perm.ru;56.203859;57.984913
"Твой выбор";Социально-педагогическое;Центр детского творчества "Сигнал";г Пермь, ул Мира, 8а;(342) 227-42-05;Кузнецова Нина Сергеевна;http://signal-perm.ru;56.203859;57.984913
Игровой клуб "Ветер перемен";Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Детство. Равные возможности;Социально-педагогическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
Детство. Равные возможности 2;Социально-педагогическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
"Белая ладья";Социально-педагогическое;Детско-юношеский центр "Здоровье";г Пермь, ул Карпинского, 75;8(342)280-26-32;Епанов Владимир Ильич;http://www.zdorovie.perm.ru;56.218529;57.978562
"Импульс";Социально-педагогическое;Детско-юношеский центр "Здоровье";г Пермь, ул Карпинского, 75;8(342)280-26-32;Епанов Владимир Ильич;http://www.zdorovie.perm.ru;56.218529;57.978562
1 гимназия;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Агитбригада;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Игротехника;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Квест;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Клуб "Команда";Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Комплексные услуги для 10 гимназии;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Радужная мастерская;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Ребятам о Зверятах;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Резные узоры;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Свой выбор;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Умелые руки (г);Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Школьный вальс;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Игровой фольклор;Социально-педагогическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Красота и здоровье;Социально-педагогическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Помоги себе сам;Социально-педагогическое;Детско-юношеский центр имени Василия Соломина;Пермь, ул Тургенева, 39;2632807;Астафьев Константин Иванович;http://www.dc-solomina.narod.ru;56.294401;58.01137
Школа КВН;Социально-педагогическое;Дом детского творчества «Пермячок»;г Пермь, ул Советская, 56;212-97-37, 212-61-49;Балашенко Людмила  Александровна;http://www.permyachok.ru;56.236495;58.014488
ТЕХНИЧЕСКОЕ МОДЕЛИРОВАНИЕ;Социально-педагогическое;Муниципальное автономное образовательное учреждение дополнительного образования детей "Детско-юношеский центр "Фаворит" г. Перми";г Пермь, ул Репина, 67а;(342)285-29-42;Поносов Владимир Александрович;http://www.favorit-centr.ru;56.28531;58.111426
Подсолнух;Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Подсолнух (холмогорская);Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
Скаутинг (холмогорская);Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯВектор (Подсолнух);Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯВектор (подсолнух, холмогорская);Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯЗатейник;Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯЛидер (Подсолнух);Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯЛидер (подсолнух, холмогорская);Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯПодсолнух;Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯПодсолнух (холмогорская);Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯПульс (Подсолнух);Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯПульс (подсолнух, холмогорская);Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
ЯТеатруля (Подсолнух);Социально-педагогическое;Муниципальное автономное учреждение дополнительного образования "Центр детского творчества "Ритм" г.Перми;г Пермь, ул Николая Островского, 66;216-32-40, 216-71-51, 216-22-16;Орлова Нина Борисовна;http://www.cdtritm.ru;56.268089;58.003803
инв Развивающие игры;Социально-педагогическое;Центр детского творчества "Юность";Пермь, ул Боровая, 16;8(342)229-25-10;Воробьева Татьяна Викторовна;;56.179596;57.999372
Быстрые паруса;Социально-педагогическое;Центр дополнительного образования детей "Радуга";Пермь, ул Александра Щербакова, 44;263-44-98;Олина Татьяна Леонидовна;;56.388975;58.127768
Твой выбор;Социально-педагогическое;Центр дополнительного образования детей "Радуга";Пермь, ул Александра Щербакова, 44;263-44-98;Олина Татьяна Леонидовна;;56.388975;58.127768
Школа лидера "Успех";Социально-педагогическое;Центр дополнительного образования детей "Радуга";Пермь, ул Александра Щербакова, 44;263-44-98;Олина Татьяна Леонидовна;;56.388975;58.127768
Юный доктор;Социально-педагогическое;Центр дополнительного образования детей "Радуга";Пермь, ул Александра Щербакова, 44;263-44-98;Олина Татьяна Леонидовна;;56.388975;58.127768
Территория успеха;Социально-педагогическое;Дворец детского (юношеского) творчества города Перми;г Пермь, ул Сибирская, 27а;212-47-05, 212-49-09, 212-47-57, 212-43-35, 212-05-94, 212-84-86;Наталья Михайловна Рослякова;http://www.ddut-perm.ru;56.248586;58.010536
клуб старшеклассников "Он-Лайн";Социально-педагогическое;Детско-юношеский центр "Антей";г Пермь, ул Юрша, 56, корп. a;266-85-10, 266-32-62;Шатрова Вера Аркадьевна;http://ducantey.ru/;56.308585;58.012052
Затейники;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Истории из истории;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Историческое краеведение;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
КВН;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Клуб старшеклассников "Закулисье";Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Клуб старшеклассников "Креатив";Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Комплексная программа "Давай устоим праздник";Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Комплексная программа "Праздник во дворе";Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
Мастерская эстрадных миниатюр;Социально-педагогическое;Детско-юношеский центр "Рифей";г Пермь, ул Дениса Давыдова, 13;226-39-01, 226-28-66,;Титлянова Галина Николаевна;http://www.perm-rifey.narod.ru;56.163687;57.973255
